ID,Fecha,IP Origen,IP Destino,Puerto Origen,Puerto Destino,Protocolo,Tamaño
1965,2026-07-22 21:49:58,2001:1260:604:bee1:f152:e9d8:f65f:da71,2001:4c28:3000:622:107:167:110:211,57231,443,HTTPS,75 B
1966,2026-07-22 21:49:58,2001:1260:604:bee1:f152:e9d8:f65f:da71,2001:4c28:3000:622:107:167:110:216,57232,443,HTTPS,75 B
1967,2026-07-22 21:49:58,2001:1260:604:bee1:f152:e9d8:f65f:da71,2001:4c28:3000:622:107:167:110:216,57233,443,HTTPS,75 B
1968,2026-07-22 21:49:58,2001:4c28:3000:622:107:167:110:211,2001:1260:604:bee1:f152:e9d8:f65f:da71,443,57231,HTTPS,86 B
1969,2026-07-22 21:49:58,2001:4c28:3000:622:107:167:110:216,2001:1260:604:bee1:f152:e9d8:f65f:da71,443,57232,HTTPS,74 B
1970,2026-07-22 21:49:58,2001:4c28:3000:622:107:167:110:216,2001:1260:604:bee1:f152:e9d8:f65f:da71,443,57233,HTTPS,74 B
1961,2026-07-22 21:49:57,2001:1260:604:bee1:f152:e9d8:f65f:da71,2600:9000:25ee:9000:f:3d79:f100:93a1,57245,443,HTTPS,207 B
1962,2026-07-22 21:49:57,2600:9000:25ee:9000:f:3d79:f100:93a1,2001:1260:604:bee1:f152:e9d8:f65f:da71,443,57245,HTTPS,1.1 KB
1963,2026-07-22 21:49:57,2001:1260:604:bee1:f152:e9d8:f65f:da71,2600:9000:25ee:9000:f:3d79:f100:93a1,57245,443,HTTPS,109 B
1964,2026-07-22 21:49:57,2600:9000:25ee:9000:f:3d79:f100:93a1,2001:1260:604:bee1:f152:e9d8:f65f:da71,443,57245,HTTPS,74 B
1953,2026-07-22 21:49:55,192.168.1.1,192.168.1.27,0,0,ARP,42 B
1954,2026-07-22 21:49:55,192.168.1.27,192.168.1.1,0,0,ARP,42 B
1955,2026-07-22 21:49:55,192.168.1.27,192.168.1.7,56706,8009,TCP,164 B
1956,2026-07-22 21:49:55,192.168.1.7,192.168.1.27,8009,56706,TCP,164 B
1957,2026-07-22 21:49:55,192.168.1.27,192.168.1.7,56706,8009,TCP,54 B
1958,2026-07-22 21:49:55,192.168.1.27,192.168.1.7,63110,8009,TCP,164 B
1959,2026-07-22 21:49:55,192.168.1.7,192.168.1.27,8009,63110,TCP,164 B
1960,2026-07-22 21:49:55,192.168.1.27,192.168.1.7,63110,8009,TCP,54 B
1951,2026-07-22 21:49:54,65.8.226.94,192.168.1.27,443,56822,HTTPS,882 B
1952,2026-07-22 21:49:54,192.168.1.27,65.8.226.94,56822,443,HTTPS,54 B
1950,2026-07-22 21:10:53,fe80::a4fd:c0ff:fecc:2011,ff02::fb,5353,5353,UDP,107 B
1937,2026-07-22 21:10:52,192.168.1.3,239.255.255.250,47488,1900,UDP,167 B
1938,2026-07-22 21:10:52,192.168.1.27,192.168.1.7,56706,8009,TCP,164 B
1939,2026-07-22 21:10:52,192.168.1.27,192.168.1.7,63110,8009,TCP,164 B
1940,2026-07-22 21:10:52,192.168.1.7,192.168.1.27,8009,63110,TCP,168 B
1941,2026-07-22 21:10:52,192.168.1.7,192.168.1.27,8009,56706,TCP,168 B
1942,2026-07-22 21:10:52,192.168.1.27,192.168.1.7,63110,8009,TCP,164 B
1943,2026-07-22 21:10:52,192.168.1.27,192.168.1.7,56706,8009,TCP,164 B
1944,2026-07-22 21:10:52,192.168.1.7,192.168.1.27,8009,56706,TCP,54 B
1945,2026-07-22 21:10:52,192.168.1.7,192.168.1.27,8009,56706,TCP,164 B
1946,2026-07-22 21:10:52,192.168.1.7,192.168.1.27,8009,63110,TCP,54 B
1947,2026-07-22 21:10:52,192.168.1.7,192.168.1.27,8009,63110,TCP,164 B
1948,2026-07-22 21:10:52,192.168.1.27,192.168.1.7,63110,8009,TCP,54 B
1949,2026-07-22 21:10:52,192.168.1.27,192.168.1.7,56706,8009,TCP,54 B
1933,2026-07-22 21:10:51,192.168.1.3,224.0.0.251,5353,5353,UDP,87 B
1934,2026-07-22 21:10:51,fe80::a4fd:c0ff:fecc:2011,ff02::fb,5353,5353,UDP,107 B
1935,2026-07-22 21:10:51,192.168.1.16,224.0.0.251,5353,5353,UDP,213 B
1936,2026-07-22 21:10:51,2001:1260:604:bee1:6e0c:9aff:fe4a:2e85,ff02::fb,5353,5353,UDP,217 B
1927,2026-07-22 21:10:50,192.168.1.3,239.255.255.250,47488,1900,UDP,167 B
1928,2026-07-22 21:10:50,65.8.226.94,192.168.1.27,443,56822,HTTPS,483 B
1929,2026-07-22 21:10:50,192.168.1.27,65.8.226.94,56822,443,HTTPS,54 B
1930,2026-07-22 21:10:50,192.168.1.3,224.0.0.251,5353,5353,UDP,96 B
1931,2026-07-22 21:10:50,fe80::a4fd:c0ff:fecc:2011,ff02::fb,5353,5353,UDP,116 B
1932,2026-07-22 21:10:50,192.168.1.27,255.255.255.255,65263,3289,UDP,56 B
1921,2026-07-22 21:10:49,192.168.1.3,224.0.0.251,5353,5353,UDP,87 B
1922,2026-07-22 21:10:49,fe80::a4fd:c0ff:fecc:2011,ff02::fb,5353,5353,UDP,107 B
1923,2026-07-22 21:10:49,192.168.1.27,4.207.44.68,56909,443,HTTPS,55 B
1924,2026-07-22 21:10:49,192.168.1.16,224.0.0.251,5353,5353,UDP,213 B
1925,2026-07-22 21:10:49,2001:1260:604:bee1:6e0c:9aff:fe4a:2e85,ff02::fb,5353,5353,UDP,217 B
1926,2026-07-22 21:10:49,4.207.44.68,192.168.1.27,443,56909,HTTPS,66 B
1914,2026-07-22 21:10:48,192.168.1.3,239.255.255.250,47488,1900,UDP,167 B
1915,2026-07-22 21:10:48,192.168.1.27,13.107.5.93,56924,443,HTTPS,54 B
1916,2026-07-22 21:10:48,13.107.5.93,192.168.1.27,443,56924,HTTPS,54 B
1917,2026-07-22 21:10:48,13.107.5.93,192.168.1.27,443,56924,HTTPS,54 B
1918,2026-07-22 21:10:48,192.168.1.27,13.107.5.93,56924,443,HTTPS,54 B
1919,2026-07-22 21:10:48,192.168.1.27,13.107.5.93,56924,443,HTTPS,54 B
1920,2026-07-22 21:10:48,13.107.5.93,192.168.1.27,443,56924,HTTPS,54 B
1902,2026-07-22 21:10:47,fe80::a4fd:c0ff:fecc:2011,ff02::fb,5353,5353,UDP,107 B
1903,2026-07-22 21:10:47,192.168.1.3,224.0.0.251,5353,5353,UDP,87 B
1904,2026-07-22 21:10:47,192.168.1.27,192.168.1.7,56706,8009,TCP,164 B
1905,2026-07-22 21:10:47,192.168.1.27,192.168.1.7,63110,8009,TCP,164 B
1906,2026-07-22 21:10:47,2001:1260:604:bee1:6e0c:9aff:fe4a:2e85,ff02::fb,5353,5353,UDP,217 B
1907,2026-07-22 21:10:47,192.168.1.16,224.0.0.251,5353,5353,UDP,213 B
1908,2026-07-22 21:10:47,192.168.1.7,192.168.1.27,8009,56706,TCP,164 B
1909,2026-07-22 21:10:47,192.168.1.7,192.168.1.27,8009,63110,TCP,164 B
1910,2026-07-22 21:10:47,192.168.1.27,192.168.1.7,63110,8009,TCP,54 B
1911,2026-07-22 21:10:47,192.168.1.27,192.168.1.7,56706,8009,TCP,54 B
1912,2026-07-22 21:10:47,192.168.1.27,192.168.1.1,0,0,ARP,42 B
1913,2026-07-22 21:10:47,192.168.1.1,192.168.1.27,0,0,ARP,42 B
1901,2026-07-22 21:10:46,192.168.1.3,239.255.255.250,47488,1900,UDP,167 B
1896,2026-07-22 21:10:45,192.168.1.3,192.168.1.255,57621,57621,UDP,82 B
1897,2026-07-22 21:10:45,192.168.1.3,224.0.0.251,5353,5353,UDP,87 B
1898,2026-07-22 21:10:45,fe80::a4fd:c0ff:fecc:2011,ff02::fb,5353,5353,UDP,107 B
1899,2026-07-22 21:10:45,2001:1260:604:bee1:6e0c:9aff:fe4a:2e85,ff02::fb,5353,5353,UDP,217 B
1900,2026-07-22 21:10:45,192.168.1.16,224.0.0.251,5353,5353,UDP,213 B
1870,2026-07-22 21:10:44,192.168.1.3,239.255.255.250,47488,1900,UDP,167 B
1871,2026-07-22 21:10:44,fe80::195c:ad3d:ddc4:306a,fe80::1,50942,53,DNS,99 B
1872,2026-07-22 21:10:44,192.168.1.27,192.168.1.1,50942,53,DNS,79 B
1873,2026-07-22 21:10:44,fe80::1,fe80::195c:ad3d:ddc4:306a,53,50942,DNS,222 B
1874,2026-07-22 21:10:44,192.168.1.27,13.107.5.93,56924,443,HTTPS,66 B
1875,2026-07-22 21:10:44,13.107.5.93,192.168.1.27,443,56924,HTTPS,66 B
1876,2026-07-22 21:10:44,192.168.1.27,13.107.5.93,56924,443,HTTPS,54 B
1877,2026-07-22 21:10:44,192.168.1.27,13.107.5.93,56924,443,HTTPS,571 B
1878,2026-07-22 21:10:44,13.107.5.93,192.168.1.27,443,56924,HTTPS,54 B
1879,2026-07-22 21:10:44,13.107.5.93,192.168.1.27,443,56924,HTTPS,153 B
1880,2026-07-22 21:10:44,192.168.1.27,13.107.5.93,56924,443,HTTPS,398 B
1881,2026-07-22 21:10:44,13.107.5.93,192.168.1.27,443,56924,HTTPS,56 B
1882,2026-07-22 21:10:44,13.107.5.93,192.168.1.27,443,56924,HTTPS,1.4 KB
1883,2026-07-22 21:10:44,13.107.5.93,192.168.1.27,443,56924,HTTPS,1.4 KB
1884,2026-07-22 21:10:44,13.107.5.93,192.168.1.27,443,56924,HTTPS,2.7 KB
1885,2026-07-22 21:10:44,13.107.5.93,192.168.1.27,443,56924,HTTPS,857 B
1886,2026-07-22 21:10:44,192.168.1.27,13.107.5.93,56924,443,HTTPS,54 B
1887,2026-07-22 21:10:44,192.168.1.27,13.107.5.93,56924,443,HTTPS,660 B
1888,2026-07-22 21:10:44,13.107.5.93,192.168.1.27,443,56924,HTTPS,56 B
1889,2026-07-22 21:10:44,13.107.5.93,192.168.1.27,443,56924,HTTPS,513 B
1890,2026-07-22 21:10:44,13.107.5.93,192.168.1.27,443,56924,HTTPS,1.4 KB
1891,2026-07-22 21:10:44,13.107.5.93,192.168.1.27,443,56924,HTTPS,137 B
1892,2026-07-22 21:10:44,192.168.1.27,13.107.5.93,56924,443,HTTPS,54 B
1893,2026-07-22 21:10:44,13.107.5.93,192.168.1.27,443,56924,HTTPS,2.1 KB
1894,2026-07-22 21:10:44,13.107.5.93,192.168.1.27,443,56924,HTTPS,433 B
1895,2026-07-22 21:10:44,192.168.1.27,13.107.5.93,56924,443,HTTPS,54 B
1864,2026-07-22 21:10:43,2001:1260:604:bee1:f152:e9d8:f65f:da71,2001:4860:482a:7700::,51786,443,HTTPS,91 B
1865,2026-07-22 21:10:43,2001:4860:482a:7700::,2001:1260:604:bee1:f152:e9d8:f65f:da71,443,51786,HTTPS,90 B
1866,2026-07-22 21:10:43,192.168.1.3,224.0.0.251,5353,5353,UDP,87 B
1867,2026-07-22 21:10:43,fe80::a4fd:c0ff:fecc:2011,ff02::fb,5353,5353,UDP,107 B
1868,2026-07-22 21:10:43,192.168.1.16,224.0.0.251,5353,5353,UDP,213 B
1869,2026-07-22 21:10:43,2001:1260:604:bee1:6e0c:9aff:fe4a:2e85,ff02::fb,5353,5353,UDP,217 B
1848,2026-07-22 21:10:42,192.168.1.3,224.0.0.251,5353,5353,UDP,87 B
1849,2026-07-22 21:10:42,fe80::a4fd:c0ff:fecc:2011,ff02::fb,5353,5353,UDP,107 B
1850,2026-07-22 21:10:42,192.168.1.3,192.168.1.255,57621,57621,UDP,82 B
1851,2026-07-22 21:10:42,192.168.1.3,192.168.1.255,57621,57621,UDP,82 B
1852,2026-07-22 21:10:42,192.168.1.27,65.8.226.94,56908,443,HTTPS,55 B
1853,2026-07-22 21:10:42,65.8.226.94,192.168.1.27,443,56908,HTTPS,66 B
1854,2026-07-22 21:10:42,192.168.1.3,239.255.255.250,47488,1900,UDP,167 B
1855,2026-07-22 21:10:42,192.168.1.16,224.0.0.251,5353,5353,UDP,213 B
1856,2026-07-22 21:10:42,192.168.1.27,192.168.1.7,63110,8009,TCP,164 B
1857,2026-07-22 21:10:42,192.168.1.27,192.168.1.7,56706,8009,TCP,164 B
1858,2026-07-22 21:10:42,192.168.1.7,192.168.1.27,8009,56706,TCP,164 B
1859,2026-07-22 21:10:42,192.168.1.7,192.168.1.27,8009,63110,TCP,164 B
1860,2026-07-22 21:10:42,192.168.1.27,192.168.1.7,56706,8009,TCP,54 B
